Average_Rating,Average_Difficulty,Number_of_Ratings,Received_Pepper,Proportion_Take_Again,Online_Ratings,Male,Female,Major_Field,University,State
4.0,3.0,10.0,0,60.0,1.0,0,0,English,Polk State College,FL
3.9,3.6,20.0,0,64.0,0.0,1,0,Mathematics,Cabrillo College,CA
3.1,3.0,7.0,0,80.0,0.0,1,0,Science,Rockhurst University,MO
4.4,2.5,12.0,1,100.0,0.0,0,1,English,University of Georgia,GA
4.9,1.6,16.0,0,88.0,0.0,0,0,Community Health Sciences,University of Nevada- Reno,NV
2.7,3.3,12.0,0,50.0,0.0,0,1,Art History,Bloomsburg University,PA
4.7,1.3,6.0,0,,0.0,1,0,Industrial Studies,University of Wisconsin - Platteville,WI
4.6,3.1,8.0,0,,0.0,1,0,Political Science,SUNY Oswego,NY
4.9,2.7,20.0,1,100.0,0.0,0,1,Management,University of Arkansas,AR
4.6,2.9,18.0,0,100.0,0.0,1,0,Creative Writing,University of British Columbia,BC
4.5,1.7,16.0,1,92.0,0.0,0,0,Creative Writing,University of British Columbia,BC
4.6,2.6,26.0,1,100.0,3.0,1,0,Psychology,Salt Lake Community College,UT
3.0,3.0,6.0,0,,0.0,0,1,Psychology,Stevenson University,MD
4.3,2.4,7.0,0,,0.0,0,1,Languages,Wilfrid Laurier University-Brantford,ON
1.9,3.4,7.0,0,,3.0,0,1,Allied Health,Youngstown State University,OH
3.3,2.7,6.0,0,,0.0,1,0,History,Duquesne University,PA
4.8,3.0,6.0,0,,0.0,0,1,Business,Camosun College,BC
3.6,2.5,8.0,0,,0.0,1,0,Business Analysis,James Madison University,VA
4.9,2.8,6.0,1,,0.0,1,0,English,University of Central Florida,FL
4.8,1.8,11.0,1,100.0,6.0,1,0,English,George Mason University,VA
2.9,3.8,13.0,0,33.0,0.0,0,1,Science,University of Wisconsin- Parkside,WI
3.4,3.6,11.0,0,83.0,6.0,0,0,Psychology,University of West Georgia,GA
4.7,2.7,17.0,1,86.0,0.0,1,0,Culinary Arts,Suffolk County Community College,NY
5.0,2.5,6.0,1,,0.0,1,0,Political Science,Lakehead University,ON
4.9,2.8,9.0,1,100.0,0.0,0,1,Health,Salt Lake Community College,UT
2.8,3.7,8.0,0,33.0,1.0,1,0,Music,Cerritos College,CA
2.2,4.3,6.0,0,40.0,0.0,1,0,Biology,Andrews University,MI
4.5,2.4,10.0,1,,0.0,0,1,Art  Design,Montclair State University,NJ
4.5,1.1,12.0,0,100.0,0.0,1,0,Marketing,University of Northern Iowa,IA
3.4,3.0,22.0,0,71.0,0.0,0,1,Biology,Mississippi State University,MS
4.3,2.2,16.0,0,100.0,1.0,0,0,Criminal Justice,Wilfrid Laurier University-Brantford,ON
4.3,3.3,14.0,0,75.0,0.0,1,0,Mathematics,Northern Arizona University,AZ
3.0,3.3,15.0,0,56.0,5.0,1,0,Anthropology,Cabrillo College,CA
3.0,3.1,9.0,0,,5.0,0,0,Humanities,Truckee Meadows Community College,NV
4.3,1.9,8.0,0,,0.0,1,0,Communication,Grand Valley State University,MI
4.8,2.7,6.0,1,,0.0,1,0,Astronomy,Utah Valley University,UT
3.4,4.0,6.0,1,,0.0,0,0,Engineering,University of British Columbia - Okanagan,BC
2.8,3.7,10.0,0,,0.0,0,0,Computer Science,University of California Santa Barbara,CA
3.4,3.5,13.0,0,78.0,0.0,1,0,Communication Studies,University of Iowa,IA
2.9,3.9,16.0,0,53.0,0.0,0,1,Journalism,California State University Chico,CA
3.5,3.3,8.0,0,100.0,0.0,0,0,Engineering,University of California San Diego,CA
4.1,3.1,8.0,0,71.0,0.0,1,0,Foreign Languages,University of Alabama at Birmingham,AL
1.9,3.2,6.0,0,,0.0,0,0,Business,University of St. Thomas,MN
4.5,2.3,12.0,0,100.0,6.0,1,0,Theater,University of Florida,FL
5.0,2.0,8.0,1,100.0,0.0,0,1,Education,Florida International University,FL
5.0,2.0,6.0,1,,0.0,1,0,Social Work,Rhode Island College,RI
3.6,1.6,12.0,0,,0.0,0,0,Health Policy  Management,York University (all campuses),ON
4.8,1.7,6.0,0,,0.0,1,0,Biology,University of Kentucky,KY
4.5,2.5,11.0,0,90.0,1.0,1,0,Communication,University at Buffalo (SUNY Buffalo),NY
5.0,2.5,7.0,0,100.0,0.0,1,0,Criminal Justice,El Paso Community College,TX
2.8,3.9,18.0,0,50.0,0.0,0,1,English,San Antonio College,TX
4.8,1.7,12.0,0,100.0,0.0,1,0,Chemistry,Grand Valley State University,MI
3.1,3.9,7.0,0,,0.0,0,1,Sociology,Texas Christian University,TX
4.5,3.0,7.0,1,,0.0,1,0,Biology,Arkansas Tech University,AR
4.8,1.6,9.0,1,,0.0,0,1,Speech  Hearing Sciences,Miami University,OH
4.0,2.2,29.0,1,80.0,1.0,0,0,Political Science,University of Texas at San Antonio,TX
4.9,1.7,6.0,1,,0.0,0,1,Comparative Literature,University of Georgia,GA
4.0,2.7,17.0,0,60.0,0.0,0,0,Science,University of Ottawa,ON
4.1,2.6,7.0,1,67.0,0.0,0,0,Risk Management  Insurance,CUNY Queens College,NY
4.9,2.7,8.0,1,,0.0,1,0,Criminal Justice,County College of Morris,NJ
2.8,3.4,31.0,0,28.0,0.0,0,1,Communication,Utah Valley University,UT
4.5,2.4,23.0,1,93.0,9.0,0,1,History,Northwest Vista College,TX
4.2,2.4,7.0,1,,0.0,0,1,Spanish,Rutgers - State University of New Jersey,NJ
3.5,2.8,6.0,0,,0.0,0,0,Computer Science,Montgomery College - Germantown Campus,MD
3.2,3.8,6.0,0,,0.0,1,0,Business,Jefferson State Community College,AL
1.8,4.3,11.0,0,,0.0,0,1,Biology,Morehead State University,KY
1.4,4.2,6.0,0,,0.0,1,0,Chemistry,San Diego Mesa College,CA
1.8,4.4,8.0,0,,0.0,0,1,Mathematics,Albright College,PA
4.6,1.8,6.0,1,,0.0,0,1,Communication,Reedley College,CA
4.2,2.5,16.0,0,50.0,5.0,1,0,English,College of Coastal Georgia,GA
4.6,1.6,21.0,1,,0.0,0,0,Chemistry,University of Alabama,AL
2.1,3.3,14.0,0,25.0,0.0,0,1,Education,Illinois State University,IL
3.2,2.4,11.0,0,80.0,0.0,1,0,English,Front Range Community College- Larimer Campus,CO
2.9,3.5,9.0,0,,0.0,0,1,Statistics,Pennsylvania State University,PA
4.4,2.9,11.0,0,83.0,0.0,0,1,English,University of South Alabama,AL
4.2,3.2,39.0,1,65.0,0.0,1,0,Psychology,McGill University,QC
3.9,2.8,35.0,0,,0.0,1,0,Information Technology,University of Tampa,FL
4.5,3.5,8.0,1,,0.0,0,0,Business,University of Calgary,AB
3.5,3.0,7.0,0,50.0,7.0,1,0,Religion,Brigham Young University-Idaho,ID
1.3,4.5,6.0,0,,0.0,1,0,Mathematics Education,Morton College,IL
4.9,3.8,7.0,1,,0.0,0,0,Music,Columbia College Chicago,IL
4.5,2.6,12.0,1,,0.0,0,0,Mathematics,University of British Columbia,BC
3.8,3.7,8.0,0,80.0,0.0,0,1,Public Health,George Washington University,DC
4.2,2.6,15.0,0,67.0,0.0,1,0,Marketing,George Brown College,ON
2.6,3.9,7.0,0,40.0,0.0,0,0,Anthropology,Rutgers - State University of New Jersey,NJ
4.1,2.0,7.0,1,,0.0,0,1,Music,University of Nevada Las Vegas,NV
5.0,1.3,7.0,1,,0.0,0,1,Computer Science,Metropolitan Community College-Longview,MO
3.7,2.3,8.0,0,80.0,3.0,0,1,Mathematics,Eastern Michigan University,MI
4.3,2.9,8.0,0,,0.0,0,1,Government,Texas Southmost College,TX
4.7,2.7,7.0,1,100.0,3.0,0,1,Mass Communication,Winona State University,MN
3.7,3.4,13.0,0,83.0,0.0,0,0,Communication,Weber State University,UT
3.5,2.5,7.0,0,80.0,0.0,0,1,Sign Language,Dixie State University,UT
4.4,2.9,8.0,1,,0.0,0,1,Information Systems,Brigham Young University,UT
3.9,2.5,7.0,1,,0.0,1,1,Communication,Weber State University,UT
4.2,3.6,8.0,0,,0.0,0,1,Biology,Houston Baptist University,TX
3.1,4.3,8.0,1,,0.0,1,0,Management,George Brown College,ON
3.5,1.7,6.0,0,,0.0,0,0,Mathematics,Stony Brook University (SUNY),NY
4.6,2.6,7.0,0,100.0,0.0,0,1,Communication,Montgomery College: Rockville Campus,MD
3.5,3.1,10.0,0,,0.0,0,1,Psychology,Purdue University - West Lafayette,IN
3.6,3.2,6.0,0,,0.0,0,1,Communication Disorders,SUNY New Paltz,NY
4.6,3.7,40.0,1,100.0,0.0,0,0,Physics,Louisiana State University,LA
3.9,1.7,8.0,1,,0.0,1,0,Counseling,Cerritos College,CA
2.3,4.0,6.0,0,,0.0,0,1,Computer Science,Wesleyan University,CT
3.8,3.5,6.0,0,,0.0,0,1,Economics,Loyola Marymount University,CA
4.3,3.4,16.0,1,,0.0,0,1,Art  Art History,University of California Davis,CA
4.8,2.0,19.0,1,100.0,1.0,0,0,Geography,Cerritos College,CA
3.5,3.1,11.0,0,80.0,3.0,0,1,Computer Information Technology,Lone Star College (all),TX
4.0,3.3,7.0,1,60.0,0.0,1,0,Communication,Grand Canyon University,AZ
1.3,4.8,9.0,0,17.0,6.0,0,1,Social Science,Tacoma Community College,WA
3.3,3.1,11.0,0,40.0,0.0,1,0,Anthropology,University of Toledo,OH
4.3,3.1,12.0,1,83.0,0.0,0,1,Anthropology,University of Florida,FL
3.7,3.8,9.0,0,60.0,1.0,0,0,Economics,Towson University,MD
2.0,4.6,21.0,0,42.0,1.0,1,0,Mathematics,Framingham State University,MA
3.2,3.6,7.0,0,,0.0,0,0,Education,Oklahoma State University,OK
4.5,3.1,10.0,1,,0.0,1,1,Music,Austin Community College,TX
4.3,3.2,6.0,0,,0.0,1,0,Economics,University of Wisconsin - Stevens Point,WI
1.8,4.2,6.0,0,,0.0,0,0,Education,California State University San Bernardino,CA
4.0,3.8,6.0,1,,0.0,0,1,Languages,St. Olaf College,MN
4.5,2.6,9.0,1,100.0,0.0,1,0,Engineering,Case Western Reserve University,OH
4.9,1.3,6.0,0,,0.0,0,1,Mathematics,Florida International University,FL
4.0,2.9,10.0,0,80.0,0.0,0,1,Speech,Skyline College,CA
3.7,2.5,10.0,0,71.0,2.0,0,1,Geography,Harford Community College,MD
3.8,3.2,9.0,0,,0.0,1,0,Statistics,Lansing Community College,MI
4.1,1.6,10.0,1,80.0,0.0,1,0,Business Management,Seneca College of Applied Arts and Technology-ALL,ON
4.7,2.2,28.0,1,87.0,0.0,0,1,Criminal Justice,Florida Atlantic University,FL
3.0,4.2,9.0,0,33.0,1.0,1,1,Business,Valdosta State University,GA
4.5,1.4,15.0,0,100.0,0.0,1,0,Computer Science,Northern Virginia Community College (all campuses),VA
3.9,4.1,9.0,0,,0.0,0,1,Biology,Calhoun Community College (all campuses),AL
4.1,3.3,18.0,1,100.0,3.0,0,0,Economics,Southeast Missouri State University,MO
4.0,3.0,13.0,1,40.0,0.0,1,0,Biology,Golden West College,CA
2.5,4.0,7.0,0,,0.0,0,1,Physics,Belmont University,TN
3.6,3.8,6.0,0,,0.0,0,1,Business,Hostos Community College,NY
4.1,2.3,7.0,1,,0.0,0,1,Mathematics,Humber College,ON
3.6,4.0,6.0,1,,0.0,0,1,Languages,Oberlin College,OH
3.1,3.1,7.0,0,,0.0,0,1,Biology,Grand Valley State University,MI
3.2,3.3,6.0,0,,0.0,1,0,Mathematics,Pueblo Community College,CO
4.7,1.9,12.0,1,100.0,4.0,0,1,Science,Daytona State College,FL
1.3,4.6,7.0,0,,0.0,0,1,English,University of Nebraska-Lincoln,NE
2.3,3.6,8.0,0,,4.0,0,0,Anthropology,University of Texas at Austin,TX
4.5,1.7,8.0,0,,3.0,0,1,Anthropology,Midlands Technical College,SC
3.7,2.7,7.0,0,60.0,0.0,1,0,Accounting,SUNY Old Westbury,NY
4.9,3.0,8.0,1,,0.0,1,1,Writing,University of Southern California,CA
5.0,2.3,39.0,1,100.0,0.0,1,1,Social Work,Sheridan College - Oakville,ON
4.6,1.9,11.0,0,,1.0,0,1,Psychology,University of Saskatchewan,SK
4.9,1.3,9.0,1,,0.0,1,0,Mathematics,Cosumnes River College,CA
3.6,3.3,7.0,1,,0.0,1,0,Chemistry,University of Kentucky,KY
3.7,2.5,6.0,0,,0.0,0,1,English,Rock Valley College,IL
4.6,2.6,10.0,0,80.0,0.0,0,0,English,Diablo Valley College,CA
3.9,2.4,14.0,0,89.0,0.0,0,1,Machining Technology,Lone Star College (all),TX
4.0,3.4,9.0,0,,0.0,0,0,Physics,University of Saskatchewan,SK
4.6,3.3,7.0,0,,0.0,0,1,Languages,Northern Arizona University,AZ
4.6,3.2,11.0,1,100.0,0.0,0,1,Business,George Brown College,ON
4.3,1.7,11.0,1,100.0,1.0,0,1,Criminal Justice,Northwest Vista College,TX
3.1,2.3,15.0,0,50.0,0.0,0,0,Health Science,University of Ottawa,ON
3.5,1.9,15.0,0,,0.0,1,0,Social Work,University of Southern Indiana,IN
4.5,3.5,21.0,1,92.0,0.0,0,0,Mathematics,University of Michigan,MI
4.1,2.9,7.0,1,,0.0,0,0,Mathematics,Central Michigan University,MI
3.6,3.9,7.0,0,,0.0,1,0,Literature,Indiana University Bloomington,IN
4.6,2.3,10.0,1,100.0,0.0,0,1,Mathematics,San Diego City College,CA
3.0,4.7,6.0,0,,0.0,1,1,Bioengineering,University of Washington,WA
4.8,1.7,8.0,1,,0.0,0,0,Psychology,Universite de Montreal,QC
3.0,3.5,10.0,0,60.0,1.0,0,0,Anthropology,University of Houston-Clear Lake,TX
2.1,3.3,8.0,0,,0.0,1,1,Economics,University of California Santa Cruz,CA
4.4,3.6,14.0,1,75.0,0.0,1,0,Art,Florida Atlantic University,FL
3.0,3.5,68.0,0,54.0,2.0,1,0,Physics,University of Tampa,FL
4.3,3.3,12.0,0,75.0,0.0,1,0,Mathematics,Georgia State University Perimeter College - Alpharetta,GA
3.9,2.0,10.0,0,,0.0,1,0,Political Science,State College of Florida Manatee-Sarasota,FL
4.2,3.0,7.0,1,,0.0,0,0,Computer Science,Georgia College,GA
5.0,2.5,53.0,1,100.0,9.0,0,1,Education,University of Missouri - St. Louis,MO
3.9,2.5,10.0,0,100.0,0.0,0,1,Criminal Justice,Kutztown University of Pennsylvania,PA
4.5,2.9,19.0,1,88.0,0.0,1,0,English,Rutgers - State University of New Jersey,NJ
4.4,2.3,10.0,1,100.0,0.0,0,1,English,Massasoit Community College-Brockton Campus,MA
4.8,2.2,7.0,1,,0.0,0,0,Social Science,University of North Georgia - Gainesville,GA
3.0,2.9,17.0,0,33.0,5.0,1,0,Criminal Justice,Indiana University Southeast,IN
4.6,3.0,13.0,1,,0.0,0,0,Engineering,Springfield Technical Community College,MA
2.6,3.7,7.0,1,,0.0,0,1,Biology,Salve Regina University,RI
3.1,3.9,7.0,0,,0.0,1,0,Government,Lone Star College (all),TX
4.2,1.8,13.0,1,,0.0,0,1,Business,Butler University,IN
5.0,1.9,8.0,0,,0.0,0,1,Chemistry,University of Connecticut,CT
4.8,2.0,24.0,0,100.0,0.0,1,0,History,University of Central Florida,FL
2.0,4.3,12.0,0,,0.0,1,0,Biology,Collin College,TX
3.1,3.3,15.0,0,44.0,0.0,1,0,History,University of St. Thomas,MN
3.3,2.8,8.0,0,,0.0,0,1,Religious Studies,St. Cloud State University,MN
4.6,3.1,12.0,1,,0.0,0,0,Chemistry,Miami Dade College (all),FL
4.4,3.8,7.0,0,,2.0,0,1,Political Science,McNeese State University,LA
3.8,3.4,20.0,1,70.0,0.0,1,0,Physics,Langara College,BC
3.0,3.9,7.0,0,,0.0,0,1,Psychology,University of Colorado Denver,CO
3.2,4.3,9.0,1,,0.0,0,1,Finance,Grand Canyon University,AZ
2.6,3.6,12.0,0,,1.0,0,0,Psychology,Texas Tech University,TX
3.6,1.8,6.0,0,,0.0,0,1,Law,Grand Canyon University,AZ
3.9,3.0,9.0,0,100.0,0.0,0,1,English,Macomb Community College (all campuses),MI
4.6,3.1,8.0,1,100.0,0.0,1,0,Business,University of Iowa,IA
3.5,3.4,9.0,0,100.0,0.0,0,1,Biological Sciences,Northern Arizona University,AZ
3.3,3.3,7.0,0,,1.0,1,0,Health Science,Central Michigan University,MI
5.0,3.3,6.0,1,,0.0,1,0,Civil Engineering,University of New Brunswick,NB
4.0,2.3,6.0,1,,0.0,1,0,Physical Education,Indiana State University,IN
2.3,3.2,6.0,0,,0.0,0,0,Chemistry,Indiana University Southeast,IN
4.8,3.0,10.0,1,100.0,7.0,0,1,Business,John Tyler Community College,VA
2.6,3.8,9.0,0,29.0,7.0,1,0,English,Crafton Hills College,CA
4.8,1.7,6.0,0,,0.0,1,0,Mathematics,Suffolk County Community College,NY
4.1,4.0,9.0,0,,6.0,1,0,Art,Brigham Young University-Idaho,ID
4.7,3.0,9.0,0,,0.0,1,0,Chemistry,University of Central Arkansas,AR
1.1,4.1,8.0,0,,0.0,1,0,Physics,McGill University,QC
4.5,2.6,9.0,0,71.0,0.0,1,0,Sociology,North Carolina State University,NC
5.0,1.7,13.0,1,100.0,0.0,0,1,Psychology,Grand Valley State University,MI
4.8,2.3,9.0,1,,0.0,0,0,Languages,University of North Georgia - Dahlonega,GA
5.0,2.0,6.0,1,,0.0,0,1,Writing,Columbia College Chicago,IL
4.8,1.9,10.0,1,100.0,0.0,1,0,Spanish,Modesto Junior College,CA
3.5,2.7,45.0,1,67.0,0.0,0,0,Mathematics,Centennial College,ON
5.0,1.5,17.0,1,100.0,0.0,1,0,Business,Montclair State University,NJ
4.8,1.8,9.0,1,,0.0,0,1,English,Utah Valley University,UT
2.8,3.3,14.0,0,20.0,0.0,1,1,Management,University of Georgia,GA
3.8,3.0,6.0,1,,0.0,0,0,Information Technology,York University (all campuses),ON
4.7,2.8,6.0,0,,0.0,1,0,Human Resources Management,Rutgers - State University of New Jersey,NJ
3.1,2.7,14.0,0,,0.0,1,0,Marketing,Providence College,RI
3.5,3.0,9.0,0,,0.0,0,1,Film,Purchase College (SUNY Purchase),NY
2.3,4.3,10.0,0,,0.0,1,0,Mathematics,University of Massachusetts - Boston,MA
4.9,2.2,13.0,1,,0.0,0,0,Electrical & Computer Engineering,United States Naval Academy,MD
4.9,2.2,8.0,1,100.0,0.0,0,1,Fine Arts,Cascadia College,WA
4.1,3.5,14.0,1,,0.0,1,0,Biology,University of Nevada- Reno,NV
3.3,2.8,15.0,0,71.0,0.0,0,1,Art History,University of Michigan,MI
3.1,4.0,10.0,0,,0.0,0,0,Mathematics,University of Michigan,MI
4.8,2.8,8.0,1,,0.0,0,0,History,Prairie View A&M University,TX
3.7,3.3,7.0,1,,0.0,0,0,International Business,Northeastern University,MA
3.3,1.8,6.0,0,80.0,0.0,0,0,Management  Info Systems,University of Georgia,GA
4.0,3.2,10.0,1,88.0,2.0,0,0,Mathematics,Texas A&M University at Commerce,TX
3.7,3.2,16.0,0,60.0,1.0,1,0,World Languages  Literatures,University of Arkansas,AR
5.0,2.0,8.0,1,,0.0,0,1,Psychology,Macomb Community College (all campuses),MI
4.3,2.6,9.0,1,,0.0,0,0,Marketing,Kutztown University of Pennsylvania,PA
4.2,2.7,29.0,1,67.0,0.0,0,1,Psychology,University of Tennessee - Knoxville,TN
4.8,2.7,9.0,0,,0.0,0,1,English,University of Alabama at Birmingham,AL
4.5,1.6,11.0,0,100.0,0.0,0,1,English,California Baptist University,CA
4.4,2.6,7.0,1,,0.0,0,1,English,Auburn University at Montgomery,AL
4.8,2.2,7.0,0,,0.0,0,0,Education,Texas State University,TX
1.6,4.3,7.0,0,,0.0,0,0,Allied Health,Nassau Community College,NY
4.8,1.7,21.0,1,100.0,1.0,1,0,History,Richland College,TX
2.4,4.3,19.0,0,,0.0,0,1,Nutrition,Miami Dade College (all),FL
4.1,2.8,6.0,1,,0.0,1,0,Physics,Oberlin College,OH
4.3,3.1,14.0,0,100.0,0.0,1,0,Philosophy,University of Lethbridge,AB
3.9,2.7,8.0,0,67.0,0.0,0,1,Management Information Systems,East Carolina University,NC
5.0,1.5,6.0,1,,1.0,1,1,Education,University of North Florida,FL
4.3,2.2,11.0,0,,0.0,0,0,History,Howard University,DC
3.2,3.0,9.0,0,,1.0,0,1,Languages,Georgia College,GA
4.2,2.7,11.0,0,71.0,0.0,1,0,Sociology,Wilfrid Laurier University-Waterloo,ON
5.0,1.6,7.0,0,,0.0,1,0,Music,Washington State University,WA
3.9,2.5,9.0,1,100.0,2.0,1,0,Economics,Metropolitan State University of Denver,CO
3.7,3.4,19.0,0,75.0,0.0,1,0,Biological Sciences,Washington State University,WA
4.5,1.7,10.0,0,,0.0,1,0,Anthropology,Rhode Island College,RI
4.3,1.7,6.0,0,,0.0,1,0,Engineering,University of Ottawa,ON
4.0,2.4,8.0,1,83.0,0.0,1,0,History,Frostburg State University,MD
4.8,2.6,7.0,0,,0.0,1,0,Zoology,University of Hawaii: Kapiolani Community College,HI
4.5,3.2,10.0,1,,0.0,1,0,Computer Science,University of Delaware,DE
4.5,1.9,130.0,1,100.0,2.0,0,1,Sociology,Florida State College at Jacksonville,FL
4.0,3.5,6.0,1,,0.0,1,0,Health Science,Western Technical College,WI
3.8,2.5,9.0,1,,0.0,0,0,Education,Eastern Michigan University,MI
4.0,2.8,9.0,1,,0.0,0,0,Psychology,Texas A&M University at College Station,TX
4.2,3.6,8.0,0,,1.0,0,0,Psychology,University of Central Missouri,MO
4.5,2.3,16.0,1,100.0,0.0,1,0,Criminal Justice,University of Central Missouri,MO
3.7,3.4,7.0,0,,0.0,1,0,Education,College of the Holy Cross,MA
4.4,2.3,22.0,0,90.0,0.0,1,0,Mathematics,University of Wisconsin - La Crosse,WI
3.0,3.5,6.0,1,,0.0,0,1,English,University of Tennessee - Knoxville,TN
5.0,2.2,9.0,1,100.0,7.0,0,0,Psychology,San Jacinto College - North,TX
